term	pos	category	emotion
jollity	NOUN	Joy	Positive
joviality	NOUN	Joy	Positive
chaff	VERB	Joy	Positive
kid	VERB	Joy	Positive
banter	VERB	Joy	Positive
jolly	VERB	Joy	Positive
merry	ADJ	Joy	Positive
jovial	ADJ	Joy	Positive
jolly	ADJ	Joy	Positive
jocund	ADJ	Joy	Positive
gay	ADJ	Joy	Positive
mirthful	ADJ	Joy	Positive
riotously	ADV	Joy	Positive
exuberantly	ADV	Joy	Positive
expansively	ADV	Joy	Positive
ebulliently	ADV	Joy	Positive
exuberance	NOUN	Joy	Positive
lightheartedness	NOUN	Joy	Positive
carefreeness	NOUN	Joy	Positive
lightsomeness	NOUN	Joy	Positive
insouciance	NOUN	Joy	Positive
unworried	ADJ	Joy	Positive
carefree	ADJ	Joy	Positive
euphoria	NOUN	Joy	Positive
happy	ADJ	Joy	Positive
euphoric	ADJ	Joy	Positive
euphoriant	ADJ	Joy	Positive
content	ADJ	Joy	Positive
contented	ADJ	Joy	Positive
content	VERB	Joy	Positive
contentment	NOUN	Joy	Positive
titillated	ADJ	Joy	Positive
teased	ADJ	Joy	Positive
tickle	VERB	Joy	Positive
titillate	VERB	Joy	Positive
titillating	ADJ	Joy	Positive
titillation	NOUN	Joy	Positive
near	ADV	Joy	Positive
close	ADV	Joy	Positive
nigh	ADV	Joy	Positive
closeness	NOUN	Joy	Positive
intimacy	NOUN	Joy	Positive
close	ADJ	Joy	Positive
smug	ADJ	Joy	Positive
self-satisfied	ADJ	Joy	Positive
smugness	NOUN	Joy	Positive
gala	ADJ	Joy	Positive
festal	ADJ	Joy	Positive
festive	ADJ	Joy	Positive
merriment	NOUN	Joy	Positive
gaiety	NOUN	Joy	Positive
sunny	ADJ	Joy	Positive
cheery	ADJ	Joy	Positive
belonging	NOUN	Joy	Positive
buoyancy	NOUN	Joy	Positive
perkiness	NOUN	Joy	Positive
fulfill	VERB	Joy	Positive
satisfy	VERB	Joy	Positive
fulfil	VERB	Joy	Positive
fulfillment	NOUN	Joy	Positive
fulfilment	NOUN	Joy	Positive
screaming	ADJ	Joy	Positive
uproarious	ADJ	Joy	Positive
hilarious	ADJ	Joy	Positive
gleefulness	NOUN	Joy	Positive
hilarity	NOUN	Joy	Positive
mirthfulness	NOUN	Joy	Positive
mirth	NOUN	Joy	Positive
glee	NOUN	Joy	Positive
uproariously	ADV	Joy	Positive
hilariously	ADV	Joy	Positive
pride	NOUN	Joy	Positive
proudly	ADV	Joy	Positive
triumphal	ADJ	Joy	Positive
prideful	ADJ	Joy	Positive
exulting	ADJ	Joy	Positive
exultant	ADJ	Joy	Positive
rejoicing	ADJ	Joy	Positive
triumphant	ADJ	Joy	Positive
jubilant	ADJ	Joy	Positive
pride	VERB	Joy	Positive
preen	VERB	Joy	Positive
congratulate	VERB	Joy	Positive
elated	ADJ	Joy	Positive
elation	NOUN	Joy	Positive
elate	VERB	Joy	Positive
intoxicate	VERB	Joy	Positive
uplift	VERB	Joy	Positive
exhilarating	ADJ	Joy	Positive
elating	ADJ	Joy	Positive
joyful	ADJ	Joy	Positive
gleeful	ADJ	Joy	Positive
jubilance	NOUN	Joy	Positive
jubilation	NOUN	Joy	Positive
jubilancy	NOUN	Joy	Positive
exultation	NOUN	Joy	Positive
exult	VERB	Joy	Positive
jubilate	VERB	Joy	Positive
triumph	VERB	Joy	Positive
rejoice	VERB	Joy	Positive
exultantly	ADV	Joy	Positive
exultingly	ADV	Joy	Positive
happiness	NOUN	Joy	Positive
blithely	ADV	Joy	Positive
mirthfully	ADV	Joy	Positive
merrily	ADV	Joy	Positive
happily	ADV	Joy	Positive
gayly	ADV	Joy	Positive
jubilantly	ADV	Joy	Positive
pleased	ADJ	Joy	Positive
comfortably	ADV	Joy	Positive
comfortable	ADJ	Joy	Positive
comfortableness	NOUN	Joy	Positive
soothe	VERB	Joy	Positive
comfort	VERB	Joy	Positive
console	VERB	Joy	Positive
solace	VERB	Joy	Positive
satisfaction	NOUN	Joy	Positive
satisfactorily	ADV	Joy	Positive
gratifyingly	ADV	Joy	Positive
satisfyingly	ADV	Joy	Positive
satisfactory	ADJ	Joy	Positive
gratify	VERB	Joy	Positive
comforting	ADJ	Joy	Positive
cheering	ADJ	Joy	Positive
satisfying	ADJ	Joy	Positive
satiable	ADJ	Joy	Positive
satisfiable	ADJ	Joy	Positive
satisfied	ADJ	Joy	Positive
gratifying	ADJ	Joy	Positive
appreciated	ADJ	Joy	Positive
pleasing	ADJ	Joy	Positive
self-complacency	NOUN	Joy	Positive
complacence	NOUN	Joy	Positive
self-satisfaction	NOUN	Joy	Positive
complacency	NOUN	Joy	Positive
complacent	ADJ	Joy	Positive
schadenfreude	NOUN	Joy	Positive
gloat	NOUN	Joy	Positive
gloating	NOUN	Joy	Positive
gloatingly	ADV	Joy	Positive
stimulating	ADJ	Joy	Positive
exhilarate	VERB	Joy	Positive
exalt	VERB	Joy	Positive
thrill	VERB	Joy	Positive
exhilaration	NOUN	Joy	Positive
excitement	NOUN	Joy	Positive
exhilarated	ADJ	Joy	Positive
gladdened	ADJ	Joy	Positive
togetherness	NOUN	Joy	Positive
revel	VERB	Joy	Positive
wallow	VERB	Joy	Positive
triumphantly	ADV	Joy	Positive
triumph	NOUN	Joy	Positive
gladden	VERB	Joy	Positive
joy	VERB	Joy	Positive
joyous	ADJ	Joy	Positive
joy	NOUN	Joy	Positive
joyfulness	NOUN	Joy	Positive
joyousness	NOUN	Joy	Positive
joyfully	ADV	Joy	Positive
gleefully	ADV	Joy	Positive
joyously	ADV	Joy	Positive
glad	ADJ	Joy	Positive
beaming	ADJ	Joy	Positive
gladsome	ADJ	Joy	Positive
gladsomeness	NOUN	Joy	Positive
gladness	NOUN	Joy	Positive
gladfulness	NOUN	Joy	Positive
rush	NOUN	Joy	Positive
thrill	NOUN	Joy	Positive
kick	NOUN	Joy	Positive
flush	NOUN	Joy	Positive
bang	NOUN	Joy	Positive
charge	NOUN	Joy	Positive
rejoicing	NOUN	Joy	Positive
bonheur	NOUN	Joy	Positive
jocularity	NOUN	Joy	Positive
jocundity	NOUN	Joy	Positive
cheer	VERB	Joy	Positive
cheerful	ADJ	Joy	Positive
cheerfully	ADV	Joy	Positive
recreate	VERB	Joy	Positive
hearten	VERB	Joy	Positive
embolden	VERB	Joy	Positive
urge	VERB	Joy	Positive
exhort	VERB	Joy	Positive
inspire	VERB	Joy	Positive
barrack	VERB	Joy	Positive
blitheness	NOUN	Joy	Positive
cheerfulness	NOUN	Joy	Positive
benevolently	ADV	Love	Positive
benevolence	NOUN	Love	Positive
benevolent	ADJ	Love	Positive
good	ADJ	Love	Positive
ardor	NOUN	Love	Positive
ardour	NOUN	Love	Positive
devoted	ADJ	Love	Positive
devotedness	NOUN	Love	Positive
devotion	NOUN	Love	Positive
amorous	ADJ	Love	Positive
romantic	ADJ	Love	Positive
amatory	ADJ	Love	Positive
enamoredness	NOUN	Love	Positive
amorousness	NOUN	Love	Positive
amative	ADJ	Love	Positive
loyalty	NOUN	Love	Positive
lovingness	NOUN	Love	Positive
caring	NOUN	Love	Positive
worshipful	ADJ	Love	Positive
adoring	ADJ	Love	Positive
worship	NOUN	Love	Positive
adoration	NOUN	Love	Positive
love	VERB	Love	Positive
lovingly	ADV	Love	Positive
fondly	ADV	Love	Positive
love	NOUN	Love	Positive
enjoy	VERB	Love	Positive
loving	ADJ	Love	Positive
endearingly	ADV	Love	Positive
adorably	ADV	Love	Positive
benefic	ADJ	Love	Positive
beneficially	ADV	Love	Positive
beneficence	NOUN	Love	Positive
beneficed	ADJ	Love	Positive
beneficent	ADJ	Love	Positive
crush	NOUN	Love	Positive
infatuation	NOUN	Love	Positive
warmth	NOUN	Love	Positive
warmheartedness	NOUN	Love	Positive
warmhearted	ADJ	Love	Positive
affect	VERB	Affection	Positive
move	VERB	Affection	Positive
strike	VERB	Affection	Positive
impress	VERB	Affection	Positive
affection	NOUN	Affection	Positive
heart	NOUN	Affection	Positive
affectionateness	NOUN	Affection	Positive
fondness	NOUN	Affection	Positive
tenderness	NOUN	Affection	Positive
